item_id,item_desc,bucket_negocio,piezas_oct_2025_ty,venta_oct_2025_ty,piezas_oct_2024_ly,venta_oct_2024_ly
000263093,40R 180H SOFT COTTON,SALUD Y BIENESTAR,31942,6413977.95,25262,4798569.21
980002314,MM 1K CREMA AVELLANA,ABARROTES,60378,6142371.81,44845,4342296.25
980016043,MM 18/1LT AGUA PURIF,PERECEDEROS,49194,3680228.03,42244,2764829.82
000084281,8.5L SUAVITEL DC,SALUD Y BIENESTAR,23450,3641771.42,24704,3548836.03
000254784,30 PZ HUEVO BLANCO,PERECEDEROS,36943,3363239.71,24097,2121814.62
000718515,3 946ML NUTRIOLI ACE,ABARROTES,29644,3337481.14,25598,2690083.71
980015520,1.2K ZUCARITAS,ABARROTES,30663,2767920.74,34268,2966986.78
000634209,1730G MAYONESA C LIM,ABARROTES,11694,1942646.5,6466,1006375.12
000155139,MM MINIMUERTO 15 PZA,FRESH,16144,1538970.73,6425,569899.03
000275176,2/1.13 KG HEINZ KETC,ABARROTES,15297,1438130.75,8921,836580.57
981007488,900G LECHERA,ABARROTES,24322,1336117.21,9047,502997.92
000033145,900 GR CREMA ACIDA,PERECEDEROS,16637,1018974.0,8982,578283.88
980032203,VERO MIX DULCE,IMPULSO,8708,833328.8,6837,648503.75
000046531,MM 1K PAN DE MUERTO,FRESH,7976,754053.4,3528,321545.56
000186909,MM 1KG PAN MUERTO,FRESH,5753,614434.27,3421,320408.0
980030262,DELIGHT PUMPKIN,PERECEDEROS,2791,276176.61,1571,168573.85
981028844,SKWINKLES DULCES,IMPULSO,1478,220779.14,466,64714.79
981040598,PUMPKIN SPICE 600 G,ABARROTES,516,96483.48,0,0.0
000318261,CALABAZA HALLOWEEN P,FRESH,840,95983.51,544,63252.95
980032456,1 KG OAXACA ORGANICO,PERECEDEROS,275,55379.36,85,17764.75
