item_id,item_desc,bucket_negocio,rol,ancla_relacionada,confianza_evidencia_pct,lift_evidencia,venta_oct_2025_ty,delta_pct_ty_vs_ly,alerta_categoria
000155139,MM MINIMUERTO 15 PZA,FRESH,ANCLA_TEMATICA_1,N/A (hub principal),N/A,N/A,1538970.73,170.03%,
000046531,MM 1K PAN DE MUERTO,FRESH,ANCLA_TEMATICA_2,N/A (hub principal),N/A,N/A,754053.4,134.55%,
000186909,MM 1KG PAN MUERTO,FRESH,ANCLA_TEMATICA_2B_VARIANTE_SKU,N/A (hub principal),N/A,N/A,614434.27,91.76%,
000318261,CALABAZA HALLOWEEN P,FRESH,ANCLA_TEMATICA_3,N/A (hub principal),N/A,N/A,95983.51,51.75%,
980032203,VERO MIX DULCE,IMPULSO,ANCLA_TEMATICA_4,N/A (hub principal),N/A,N/A,833328.8,28.49%,
981028844,SKWINKLES DULCES,IMPULSO,ANCLA_TEMATICA_5,N/A (hub principal),N/A,N/A,220779.14,241.17%,
980002314,MM 1K CREMA AVELLANA,ABARROTES,CROSS_SELL,MM MINIMUERTO 15 PZA,9.4%,1.76,6142371.81,41.46%,
980015520,1.2K ZUCARITAS,ABARROTES,CROSS_SELL,MM 1K PAN DE MUERTO,8.1%,1.88,2767920.74,-6.71%,SI - venta cae -6.7% TY vs LY; pendiente de revision por Categoria antes de confirmar en campana (posible perdida de espacio/quiebre de stock; NO se retira del pull por ahora)
000718515,3 946ML NUTRIOLI ACEITE,ABARROTES,CROSS_SELL,MM 1K PAN DE MUERTO,7.9%,1.35,3337481.14,24.07%,
981007488,900G LECHERA,ABARROTES,CROSS_SELL,MM MINIMUERTO 15 PZA,5.2%,1.74,1336117.21,165.63%,
000634209,1730G MAYONESA C/LIMON,ABARROTES,CROSS_SELL,MM 1K PAN DE MUERTO,5.5%,1.73,1942646.5,93.06%,
000275176,2/1.13 KG HEINZ KETCHUP,ABARROTES,CROSS_SELL,MM 1K PAN DE MUERTO,5.3%,1.40,1438130.75,71.92%,
981040598,PUMPKIN SPICE 600G,ABARROTES,CROSS_SELL,MM MINIMUERTO 15 PZA,5.6%,2.14,96483.48,NUEVO EN CATALOGO (0 en Oct-2024),
000254784,30 PZ HUEVO BLANCO,PERECEDEROS,CROSS_SELL,MM 1K PAN DE MUERTO,11.9%,1.40,3363239.71,58.51%,
000033145,900 GR CREMA ACIDA,PERECEDEROS,CROSS_SELL,MM 1KG PAN MUERTO,7.4%,1.89,1018974.0,76.20%,
980032456,1 KG OAXACA ORGANICO,PERECEDEROS,CROSS_SELL,MM MINIMUERTO 15 PZA,5.6%,2.13,55379.36,211.72%,
980016043,MM 18/1LT AGUA PURIFICADA,PERECEDEROS,CROSS_SELL,MM 1KG PAN MUERTO,5.2%,1.61,3680228.03,33.11%,
980030262,DELIGHT PUMPKIN,PERECEDEROS,CROSS_SELL,MM MINIMUERTO 15 PZA,5.4%,2.07,276176.61,63.83%,
000263093,40R 180H SOFT COTTON,SALUD Y BIENESTAR,CROSS_SELL_DEBIL,MM 1K PAN DE MUERTO,7.6%,1.21,6413977.95,33.67%,
000084281,8.5L SUAVITEL DC,SALUD Y BIENESTAR,CROSS_SELL_DEBIL,MM 1K PAN DE MUERTO,6.1%,1.20,3641771.42,2.62%,
