item_id,item_desc,bucket_negocio,piezas_2025,venta_2025,piezas_2024,venta_2024
000155139,MM MINIMUERTO 15 PZA,FRESH,16144,1538970.73,6425,569899.03
980032203,VERO MIX DULCE,IMPULSO,8708,833328.8,6837,648503.75
000046531,MM 1K PAN DE MUERTO,FRESH,7976,754053.4,3528,321545.56
000186909,MM 1KG PAN MUERTO,FRESH,5753,614434.27,3421,320408.0
981034826,MM BRUJA,,264,654814.83,0,0.0
981028844,SKWINKLES DULCES,IMPULSO,1478,220779.14,466,64714.79
981034842,MM CALAVERA,,498,220894.46,0,0.0
981034822,MM SET DE CALABAZAS,,342,177189.95,0,0.0
000318261,CALABAZA HALLOWEEN P,FRESH,840,95983.51,544,63252.95
000151603,RG 4KG CREMA DULCE,PERECEDEROS,344,69353.48,421,82467.06
981034816,MM TOTEM CALAVERAS,,184,134040.08,0,0.0
981039405,SET HALLOWEEN 4PZS,,104,75814.15,0,0.0
981040772,NUCITA DULCE MONEDAS,IMPULSO,449,73428.75,0,0.0
981013063,HALLOWEEN,,88,48769.58,36,23762.79
000660271,PONCHE DE FRUTAS 2 2,FRESH,178,25500.29,227,30044.12
981034821,MM CALABAZA,,53,53852.32,0,0.0
000108014,MINI PIMIENTO DULCE,FRESH,543,33411.72,332,18273.11
981034806,MM VELAS CALABAZA,,78,50105.88,0,0.0
981025849,DULCERO MIKE WAZOWSK,,0,0.0,494,41166.34
981025848,DULCERO MIKE WAZOWSK,,0,0.0,451,37332.75
981022421,MM CATRINA,,0,0.0,142,34497.18
981013103,HALLOWEEN MAN,,34,21823.71,18,11981.03
981018802,MM BRUJA,,0,0.0,10,24563.13
981000990,DSV COMBO DULCE RC-C,,0,0.0,25,21687.31
981024284,6PZ CALAVERA A,,0,0.0,377,17648.34
981034828,MM CALABAZAS VELVET,,26,15296.86,0,0.0
000184028,525G SALSA AGRIDULCE,ABARROTES,72,6560.02,52,4471.07
981010661,KEN DIA DE MUERTOS,,0,0.0,18,10673.88
980036097,MM CALABAZAS 1.19K,PERECEDEROS,0,0.0,50,10651.28
981034830,MM TOTEM DE CALABAZA,,11,9584.38,0,0.0
981030569,NUCITA PAQUETE DULCE,IMPULSO,71,9397.68,0,0.0
981040416,DIP CALABAZA CEBOLLA,PERECEDEROS,51,8035.23,0,0.0
000184035,525G SALSA AGRIDULCE,ABARROTES,44,4059.99,43,3645.95
981024226,NUVÓ FRASCOS DULCERO,,0,0.0,17,7362.06
981018803,MM SET DE CALABAZAS,,0,0.0,6,4688.04
981019425,MM TOTEM CALABAZAS,,0,0.0,2,3311.77
981028366,STAR WARS DULCERO,,0,0.0,10,3118.38
981028675,KEFIR PAY CALABAZA,PERECEDEROS,0,0.0,18,2776.35
981028698,MM PAY DE CALABAZA,FRESH,0,0.0,5,639.92
000186667,DULCE CRAYON,IMPULSO,0,0.0,1,104.68
