semana_octubre,anio,piezas_tematicos_core,venta_tematicos_core,piezas_totales_universo,venta_total_universo
Semana 1 (1-7),2024,2720,256682.64,927337,142631815.01
Semana 2 (8-14),2024,3273,318131.49,1271724,194679704.02
Semana 3 (15-21),2024,4709,442853.31,1073957,170565439.3
Semana 4 (22-28),2024,5426,514635.68,748408,117737898.63
"Semana 5 (29-31, previo inmediato a Dia de Muertos)",2024,5093,456020.97,1543239,214307971.93
Semana 1 (1-7),2025,5009,523903.69,1551653,246253932.98
Semana 2 (8-14),2025,6167,630230.47,1318578,217091986.63
Semana 3 (15-21),2025,7338,739954.74,1582281,260414853.24
Semana 4 (22-28),2025,15236,1446533.09,2157738,336293820.28
"Semana 5 (29-31, previo inmediato a Dia de Muertos)",2025,7149,716927.86,533743,88671062.28
