item_a_id,item_a_desc,item_a_bucket,item_a_tematico,item_b_id,item_b_desc,item_b_bucket,item_b_tematico,canastas_con_ambos,canastas_con_a,canastas_con_b,support_par,confianza_a_b,confianza_b_a,lift
980032203,VERO MIX DULCE,IMPULSO,True,980032208,VERO MIX FUEGO,IMPULSO,False,1556,3289,3486,0.008103,0.4731,0.4464,26.061
000163993,MINIPELON PELO RICO,IMPULSO,False,980032203,VERO MIX DULCE,IMPULSO,True,542,1557,3289,0.002822,0.3481,0.1648,20.325
980032203,VERO MIX DULCE,IMPULSO,True,981033985,WINIS MAXI UNI DRAG,IMPULSO,False,86,3289,252,0.000448,0.0261,0.3413,19.926
980032203,VERO MIX DULCE,IMPULSO,True,981011861,WINIS SQUAD,IMPULSO,False,81,3289,244,0.000422,0.0246,0.332,19.383
000109094,BOCADIN,IMPULSO,False,980032203,VERO MIX DULCE,IMPULSO,True,380,1211,3289,0.001979,0.3138,0.1155,18.321
980032203,VERO MIX DULCE,IMPULSO,True,981041470,WINIS CARAMELO SUAVE,IMPULSO,False,63,3289,201,0.000328,0.0192,0.3134,18.3
980032203,VERO MIX DULCE,IMPULSO,True,981030002,WINIS PAQUETE CARAME,IMPULSO,False,493,3289,1593,0.002567,0.1499,0.3095,18.07
000033166,RICALETA PALETA,IMPULSO,False,980032203,VERO MIX DULCE,IMPULSO,True,251,880,3289,0.001307,0.2852,0.0763,16.654
000715008,RG TILIKO MIX,IMPULSO,False,980032203,VERO MIX DULCE,IMPULSO,True,71,252,3289,0.00037,0.2817,0.0216,16.45
980032203,VERO MIX DULCE,IMPULSO,True,981020752,PULPARINDO DE LA ROS,IMPULSO,False,221,3289,788,0.001151,0.0672,0.2805,16.375
000098719,BUBLI SURTIDO BOLSA,IMPULSO,False,980032203,VERO MIX DULCE,IMPULSO,True,251,911,3289,0.001307,0.2755,0.0763,16.087
000811297,SURTIDO CHICLOSOS,IMPULSO,False,980032203,VERO MIX DULCE,IMPULSO,True,228,854,3289,0.001187,0.267,0.0693,15.588
980023399,BUBBALOO FRESA,IMPULSO,False,980032203,VERO MIX DULCE,IMPULSO,True,231,891,3289,0.001203,0.2593,0.0702,15.137
000811290,SURTIDO CARAMELOS,IMPULSO,False,980032203,VERO MIX DULCE,IMPULSO,True,153,603,3289,0.000797,0.2537,0.0465,14.815
980005631,PANDITAS,IMPULSO,False,980032203,VERO MIX DULCE,IMPULSO,True,271,1069,3289,0.001411,0.2535,0.0824,14.802
980032203,VERO MIX DULCE,IMPULSO,True,981005567,1.3K DALE DALE,IMPULSO,False,390,3289,1564,0.002031,0.1186,0.2494,14.559
000743164,DRAGONZITOS,IMPULSO,False,980032203,VERO MIX DULCE,IMPULSO,True,186,752,3289,0.000969,0.2473,0.0566,14.441
980032203,VERO MIX DULCE,IMPULSO,True,981039430,FIESTERO PELON 80 PZ,IMPULSO,False,66,3289,267,0.000344,0.0201,0.2472,14.433
980032203,VERO MIX DULCE,IMPULSO,True,981023081,CANELS EL PINATERO,IMPULSO,False,94,3289,383,0.000489,0.0286,0.2454,14.33
000711578,PICAFRESA,IMPULSO,False,980032203,VERO MIX DULCE,IMPULSO,True,785,3224,3289,0.004088,0.2435,0.2387,14.216
980032203,VERO MIX DULCE,IMPULSO,True,981008733,BOLSA RICOFIESTA,IMPULSO,False,787,3289,3751,0.004098,0.2393,0.2098,12.25
980024677,PALETA MINI CHUPS,IMPULSO,False,980032203,VERO MIX DULCE,IMPULSO,True,199,833,3289,0.001036,0.2389,0.0605,13.948
980032203,VERO MIX DULCE,IMPULSO,True,981008771,TAMBORINES BOLSA,IMPULSO,False,293,3289,1228,0.001526,0.0891,0.2386,13.931
980032165,WINIS ACIDUP,IMPULSO,False,980032203,VERO MIX DULCE,IMPULSO,True,49,214,3289,0.000255,0.229,0.0149,13.369
980032203,VERO MIX DULCE,IMPULSO,True,981038943,840 GR BOLSA MIXTA,IMPULSO,False,95,3289,420,0.000495,0.0289,0.2262,13.207
980012755,CARLOS V STICK,IMPULSO,False,980032203,VERO MIX DULCE,IMPULSO,True,418,1894,3289,0.002177,0.2207,0.1271,12.886
000021715,PELON PELO RICO,IMPULSO,False,980032203,VERO MIX DULCE,IMPULSO,True,244,1110,3289,0.001271,0.2198,0.0742,12.835
000063000,ROCKALETA ORIGINAL,IMPULSO,False,980032203,VERO MIX DULCE,IMPULSO,True,364,1681,3289,0.001895,0.2165,0.1107,12.643
000063000,ROCKALETA ORIGINAL,IMPULSO,False,981028844,SKWINKLES DULCES,IMPULSO,True,151,1681,702,0.000786,0.0898,0.2151,24.573
980011870,KRANKY,IMPULSO,False,980032203,VERO MIX DULCE,IMPULSO,True,195,915,3289,0.001015,0.2131,0.0593,12.443
981000276,KINDER DELICE,IMPULSO,False,981028844,SKWINKLES DULCES,IMPULSO,True,149,4221,702,0.000776,0.0353,0.2123,9.656
000142341,ZUMBA GOMA MANGO,IMPULSO,False,980032203,VERO MIX DULCE,IMPULSO,True,94,445,3289,0.000489,0.2112,0.0286,12.333
980032203,VERO MIX DULCE,IMPULSO,True,981036108,15 PZS PALETA PAYASO,IMPULSO,False,217,3289,1032,0.00113,0.066,0.2103,12.277
000714049,SALSAGUETI SANDIA,IMPULSO,False,981028844,SKWINKLES DULCES,IMPULSO,True,147,931,702,0.000765,0.1579,0.2094,43.193
980032203,VERO MIX DULCE,IMPULSO,True,981040417,145 PZ FIESTA MEGA,IMPULSO,False,78,3289,375,0.000406,0.0237,0.208,12.145
000097928,CARLOS V CHOCOLATE 2,IMPULSO,False,981028844,SKWINKLES DULCES,IMPULSO,True,143,3146,702,0.000745,0.0455,0.2037,12.434
000718157,BUBLI BOLA GIGANTE 2,IMPULSO,False,980032203,VERO MIX DULCE,IMPULSO,True,64,328,3289,0.000333,0.1951,0.0195,11.393
980032203,VERO MIX DULCE,IMPULSO,True,981040772,NUCITA DULCE MONEDAS,IMPULSO,False,39,3289,200,0.000203,0.0119,0.195,11.385
000115793,MUECAS CEREZA/PIKA P,IMPULSO,False,980032203,VERO MIX DULCE,IMPULSO,True,39,201,3289,0.000203,0.194,0.0119,11.329
000228270,MUECAS MANGO/CHAMOY,IMPULSO,False,980032203,VERO MIX DULCE,IMPULSO,True,143,737,3289,0.000745,0.194,0.0435,11.329
980032208,VERO MIX FUEGO,IMPULSO,False,981028844,SKWINKLES DULCES,IMPULSO,True,134,3486,702,0.000698,0.0384,0.1909,10.515
000343171,CREMINO,IMPULSO,False,980032203,VERO MIX DULCE,IMPULSO,True,256,1348,3289,0.001333,0.1899,0.0778,11.088
000790822,PELONETA,IMPULSO,False,980032203,VERO MIX DULCE,IMPULSO,True,153,811,3289,0.000797,0.1887,0.0465,11.015
000711578,PICAFRESA,IMPULSO,False,981028844,SKWINKLES DULCES,IMPULSO,True,132,3224,702,0.000687,0.0409,0.188,11.2
000070570,BUBULUBU MINI,IMPULSO,False,980032203,VERO MIX DULCE,IMPULSO,True,607,3233,3289,0.003161,0.1878,0.1846,10.962
000234225,TUTSI CHUPA POP,IMPULSO,False,980032203,VERO MIX DULCE,IMPULSO,True,426,2337,3289,0.002218,0.1823,0.1295,10.643
000714049,SALSAGUETI SANDIA,IMPULSO,False,980032203,VERO MIX DULCE,IMPULSO,True,169,931,3289,0.00088,0.1815,0.0514,10.599
000155139,MM MINIMUERTO 15 PZA,FRESH,True,000197633,MM DONAMANIA 9PZ,FRESH,False,39,5021,217,0.000203,0.0078,0.1797,6.874
000070640,MINI MIX MARS,IMPULSO,False,980032203,VERO MIX DULCE,IMPULSO,True,45,251,3289,0.000234,0.1793,0.0137,10.468
000299601,CANELS CHICLE,IMPULSO,False,980032203,VERO MIX DULCE,IMPULSO,True,162,910,3289,0.000844,0.178,0.0493,10.394
980032203,VERO MIX DULCE,IMPULSO,True,980036414,CHOCOLATE MUIBON,IMPULSO,False,284,3289,1619,0.001479,0.0863,0.1754,10.242
981003456,MAZAPAN DE LA ROSA,IMPULSO,False,981028844,SKWINKLES DULCES,IMPULSO,True,119,2527,702,0.00062,0.0471,0.1695,12.882
980032203,VERO MIX DULCE,IMPULSO,True,981003456,MAZAPAN DE LA ROSA,IMPULSO,False,425,3289,2527,0.002213,0.1292,0.1682,9.82
000070570,BUBULUBU MINI,IMPULSO,False,981028844,SKWINKLES DULCES,IMPULSO,True,117,3233,702,0.000609,0.0362,0.1667,9.9
980021159,SNICKERS 8 PACK 8 PZ,IMPULSO,False,981028844,SKWINKLES DULCES,IMPULSO,True,111,2704,702,0.000578,0.0411,0.1581,11.229
000197961,PELONETES,IMPULSO,False,980032203,VERO MIX DULCE,IMPULSO,True,105,675,3289,0.000547,0.1556,0.0319,9.082
980032203,VERO MIX DULCE,IMPULSO,True,981028844,SKWINKLES DULCES,IMPULSO,True,109,3289,702,0.000568,0.0331,0.1553,9.066
000234225,TUTSI CHUPA POP,IMPULSO,False,981028844,SKWINKLES DULCES,IMPULSO,True,109,2337,702,0.000568,0.0466,0.1553,12.759
000084931,MINI MAMUT,IMPULSO,False,980032203,VERO MIX DULCE,IMPULSO,True,103,671,3289,0.000536,0.1535,0.0313,8.963
000228270,MUECAS MANGO/CHAMOY,IMPULSO,False,981028844,SKWINKLES DULCES,IMPULSO,True,105,737,702,0.000547,0.1425,0.1496,38.973
981028844,SKWINKLES DULCES,IMPULSO,True,981030002,WINIS PAQUETE CARAME,IMPULSO,False,104,702,1593,0.000542,0.1481,0.0653,17.859
000021715,PELON PELO RICO,IMPULSO,False,981028844,SKWINKLES DULCES,IMPULSO,True,103,1110,702,0.000536,0.0928,0.1467,25.384
000197961,PELONETES,IMPULSO,False,981028844,SKWINKLES DULCES,IMPULSO,True,98,675,702,0.00051,0.1452,0.1396,39.716
980036414,CHOCOLATE MUIBON,IMPULSO,False,981028844,SKWINKLES DULCES,IMPULSO,True,97,1619,702,0.000505,0.0599,0.1382,16.39
000157612,RG MAZAPAN AZTECA,IMPULSO,False,980032203,VERO MIX DULCE,IMPULSO,True,48,348,3289,0.00025,0.1379,0.0146,8.053
980024998,MINIATURAS POUCH,IMPULSO,False,980032203,VERO MIX DULCE,IMPULSO,True,87,641,3289,0.000453,0.1357,0.0265,7.925
980021158,MILKYWAY 8PACK,IMPULSO,False,981028844,SKWINKLES DULCES,IMPULSO,True,95,1857,702,0.000495,0.0512,0.1353,13.994
000720922,HALLS YERBABUENA,IMPULSO,False,980032203,VERO MIX DULCE,IMPULSO,True,49,369,3289,0.000255,0.1328,0.0149,7.753
981028844,SKWINKLES DULCES,IMPULSO,True,981036108,15 PZS PALETA PAYASO,IMPULSO,False,93,702,1032,0.000484,0.1325,0.0901,24.652
000046531,MM 1K PAN DE MUERTO,FRESH,True,000186909,MM 1KG PAN MUERTO,FRESH,True,294,2701,2293,0.001531,0.1088,0.1282,9.116
000263248,DIABLITOS TAMAR,IMPULSO,False,980032203,VERO MIX DULCE,IMPULSO,True,35,274,3289,0.000182,0.1277,0.0106,7.458
980031132,SABRITAS MINIS,IMPULSO,False,980032203,VERO MIX DULCE,IMPULSO,True,296,2326,3289,0.001541,0.1273,0.09,7.43
000155139,MM MINIMUERTO 15 PZA,FRESH,True,981030377,MM CONCHAS GOURMET,FRESH,False,91,5021,727,0.000474,0.0181,0.1252,4.787
000163993,MINIPELON PELO RICO,IMPULSO,False,981028844,SKWINKLES DULCES,IMPULSO,True,86,1557,702,0.000448,0.0552,0.1225,15.11
000720894,HALLS MIEL,IMPULSO,False,980032203,VERO MIX DULCE,IMPULSO,True,140,1149,3289,0.000729,0.1218,0.0426,7.114
000097928,CARLOS V CHOCOLATE 2,IMPULSO,False,980032203,VERO MIX DULCE,IMPULSO,True,380,3146,3289,0.001979,0.1208,0.1155,7.052
000115793,MUECAS CEREZA/PIKA P,IMPULSO,False,981028844,SKWINKLES DULCES,IMPULSO,True,24,201,702,0.000125,0.1194,0.0342,32.663
000046531,MM 1K PAN DE MUERTO,FRESH,True,000254784,30 PZ HUEVO BLANCO,PERECEDEROS,False,322,2701,16326,0.001677,0.1192,0.0197,1.402
000790822,PELONETA,IMPULSO,False,981028844,SKWINKLES DULCES,IMPULSO,True,83,811,702,0.000432,0.1023,0.1182,27.996
980012755,CARLOS V STICK,IMPULSO,False,981028844,SKWINKLES DULCES,IMPULSO,True,83,1894,702,0.000432,0.0438,0.1182,11.988
980024736,HALLS MIX,IMPULSO,False,980032203,VERO MIX DULCE,IMPULSO,True,150,1275,3289,0.000781,0.1176,0.0456,6.869
000148311,TRIDENT WHITE FRESA,IMPULSO,False,980032203,VERO MIX DULCE,IMPULSO,True,150,1284,3289,0.000781,0.1168,0.0456,6.821
000155139,MM MINIMUERTO 15 PZA,FRESH,True,980018965,OREJITAS GABI,FRESH,False,27,5021,233,0.000141,0.0054,0.1159,4.432
980016045,MM MALVAVISCOS,IMPULSO,False,980032203,VERO MIX DULCE,IMPULSO,True,130,1122,3289,0.000677,0.1159,0.0395,6.765
980011719,BARRAS COOKIES CREME,IMPULSO,False,980032203,VERO MIX DULCE,IMPULSO,True,89,772,3289,0.000463,0.1153,0.0271,6.731
000343171,CREMINO,IMPULSO,False,981028844,SKWINKLES DULCES,IMPULSO,True,80,1348,702,0.000417,0.0593,0.114,16.235
000134539,TRIDENT WHITE,IMPULSO,False,980032203,VERO MIX DULCE,IMPULSO,True,123,1088,3289,0.000641,0.1131,0.0374,6.601
981028844,SKWINKLES DULCES,IMPULSO,True,981030541,HERSHEYS MIX DE BARR,IMPULSO,False,32,702,286,0.000167,0.0456,0.1119,30.607
000186909,MM 1KG PAN MUERTO,FRESH,True,000254784,30 PZ HUEVO BLANCO,PERECEDEROS,False,256,2293,16326,0.001333,0.1116,0.0157,1.313
980031132,SABRITAS MINIS,IMPULSO,False,981028844,SKWINKLES DULCES,IMPULSO,True,78,2326,702,0.000406,0.0335,0.1111,9.173
000720908,HALLS MENTA,IMPULSO,False,980032203,VERO MIX DULCE,IMPULSO,True,72,661,3289,0.000375,0.1089,0.0219,6.36
000191586,CLORETS 2S,IMPULSO,False,980032203,VERO MIX DULCE,IMPULSO,True,93,856,3289,0.000484,0.1086,0.0283,6.343
000061304,MM 6PZ MUFFIN CHOCOL,FRESH,False,000155139,MM MINIMUERTO 15 PZA,FRESH,True,123,1139,5021,0.000641,0.108,0.0245,4.13
981020752,PULPARINDO DE LA ROS,IMPULSO,False,981028844,SKWINKLES DULCES,IMPULSO,True,75,788,702,0.000391,0.0952,0.1068,26.036
981008733,BOLSA RICOFIESTA,IMPULSO,False,981028844,SKWINKLES DULCES,IMPULSO,True,75,3751,702,0.000391,0.02,0.1068,5.47
980032203,VERO MIX DULCE,IMPULSO,True,980040717,ORBIT MENTA 4S 50 PI,IMPULSO,False,52,3289,493,0.000271,0.0158,0.1055,6.158
000114655,MM PETITE VARIEDAD 2,FRESH,False,000155139,MM MINIMUERTO 15 PZA,FRESH,True,85,809,5021,0.000443,0.1051,0.0169,4.018
000155139,MM MINIMUERTO 15 PZA,FRESH,True,981017157,MM STRUDEL MANZANA,FRESH,False,21,5021,200,0.000109,0.0042,0.105,4.016
000155139,MM MINIMUERTO 15 PZA,FRESH,True,000685233,MINI CHOCO CHIP,FRESH,False,32,5021,306,0.000167,0.0064,0.1046,4.0
000178919,TRIDENT WHITE MENTA,IMPULSO,False,981028844,SKWINKLES DULCES,IMPULSO,True,73,2255,702,0.00038,0.0324,0.104,8.856
