item_a_id,item_a_desc,item_a_bucket,item_a_tematico,item_b_id,item_b_desc,item_b_bucket,item_b_tematico,canastas_con_ambos,canastas_con_a,canastas_con_b,support_par,confianza_a_b,confianza_b_a,lift
000046531,MM 1K PAN DE MUERTO,FRESH,True,000254784,30 PZ HUEVO BLANCO,PERECEDEROS,False,322,2701,16326,0.001677,0.1192,0.0197,1.402
000186909,MM 1KG PAN MUERTO,FRESH,True,000254784,30 PZ HUEVO BLANCO,PERECEDEROS,False,256,2293,16326,0.001333,0.1116,0.0157,1.313
980032203,VERO MIX DULCE,IMPULSO,True,981012240,XL-3 XTRA GRIPA-TOS,SALUD Y BIENESTAR,False,30,3289,311,0.000156,0.0091,0.0965,5.632
000155139,MM MINIMUERTO 15 PZA,FRESH,True,980002314,MM 1K CREMA AVELLANA,ABARROTES,False,471,5021,10227,0.002453,0.0938,0.0461,1.761
000155139,MM MINIMUERTO 15 PZA,FRESH,True,000254784,30 PZ HUEVO BLANCO,PERECEDEROS,False,470,5021,16326,0.002447,0.0936,0.0288,1.101
000155139,MM MINIMUERTO 15 PZA,FRESH,True,980009964,NATA NATURAL,PERECEDEROS,False,19,5021,217,9.9e-05,0.0038,0.0876,3.349
000676738,25KG PEDIGREE ORIG ,SALUD Y BIENESTAR,False,980032203,VERO MIX DULCE,IMPULSO,True,19,219,3289,9.9e-05,0.0868,0.0058,5.066
000046531,MM 1K PAN DE MUERTO,FRESH,True,980015520,1.2K ZUCARITAS,ABARROTES,False,218,2701,8237,0.001135,0.0807,0.0265,1.882
000155139,MM MINIMUERTO 15 PZA,FRESH,True,981000288,MM 12/1L LECHE DESLA,ABARROTES,False,401,5021,13033,0.002088,0.0799,0.0308,1.177
000046531,MM 1K PAN DE MUERTO,FRESH,True,000718515,3 946ML NUTRIOLI ACE,ABARROTES,False,214,2701,11246,0.001114,0.0792,0.019,1.353
000033145,900 GR CREMA ACIDA,PERECEDEROS,False,000046531,MM 1K PAN DE MUERTO,FRESH,True,210,7545,2701,0.001094,0.0278,0.0777,1.979
980026649,40/250 GRS FOCA,SALUD Y BIENESTAR,False,980032203,VERO MIX DULCE,IMPULSO,True,24,310,3289,0.000125,0.0774,0.0073,4.52
000186909,MM 1KG PAN MUERTO,FRESH,True,000718515,3 946ML NUTRIOLI ACE,ABARROTES,False,176,2293,11246,0.000916,0.0768,0.0157,1.311
000046531,MM 1K PAN DE MUERTO,FRESH,True,000263093,40R 180H SOFT COTTON,SALUD Y BIENESTAR,False,205,2701,12011,0.001068,0.0759,0.0171,1.213
000043670,4 KG CREMA ENTERA,PERECEDEROS,False,000155139,MM MINIMUERTO 15 PZA,FRESH,True,17,228,5021,8.9e-05,0.0746,0.0034,2.852
000033145,900 GR CREMA ACIDA,PERECEDEROS,False,000186909,MM 1KG PAN MUERTO,FRESH,True,170,7545,2293,0.000885,0.0225,0.0741,1.887
000046531,MM 1K PAN DE MUERTO,FRESH,True,000131922,2.6 L SALVO LIMON,SALUD Y BIENESTAR,False,198,2701,11954,0.001031,0.0733,0.0166,1.178
000155139,MM MINIMUERTO 15 PZA,FRESH,True,000947531,100 PANAL BBTIPS E4,SALUD Y BIENESTAR,False,15,5021,209,7.8e-05,0.003,0.0718,2.745
000155139,MM MINIMUERTO 15 PZA,FRESH,True,980021911,6 75GR SALMON TUNY S,ABARROTES,False,23,5021,325,0.00012,0.0046,0.0708,2.707
980026648,20/500G FOCA,SALUD Y BIENESTAR,False,980032203,VERO MIX DULCE,IMPULSO,True,37,523,3289,0.000193,0.0707,0.0112,4.131
000186909,MM 1KG PAN MUERTO,FRESH,True,981000288,MM 12/1L LECHE DESLA,ABARROTES,False,161,2293,13033,0.000838,0.0702,0.0124,1.035
000186909,MM 1KG PAN MUERTO,FRESH,True,980002314,MM 1K CREMA AVELLANA,ABARROTES,False,161,2293,10227,0.000838,0.0702,0.0157,1.318
980026647,10/1K FOCA,SALUD Y BIENESTAR,False,980032203,VERO MIX DULCE,IMPULSO,True,27,388,3289,0.000141,0.0696,0.0082,4.063
